epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.236,3.10177,8.92507,1.31165,0.42553,0.35667,0.25408,0.06419,3.1135,2.49147,1.16985,0.000578375,0.000578375,0.000578375
2,147.654,2.69373,3.38423,1.15306,0.52312,0.40466,0.33209,0.08424,3.16839,2.34811,1.16639,0.0011476,0.0011476,0.0011476
3,209.404,2.60527,2.53002,1.13901,0.56589,0.43887,0.41816,0.12132,2.86703,2.12606,1.09762,0.00170639,0.00170639,0.00170639
4,270.753,2.53511,2.19146,1.11701,0.56696,0.51333,0.46779,0.13481,2.76362,1.93792,1.10108,0.00194598,0.00194598,0.00194598
5,332.045,2.5194,2.06914,1.10541,0.59422,0.49333,0.45954,0.13573,2.74421,1.87141,1.08198,0.00192797,0.00192797,0.00192797
6,393.389,2.45621,1.99299,1.09456,0.58485,0.51889,0.46827,0.14216,2.76095,1.995,1.07508,0.00190996,0.00190996,0.00190996
7,454.655,2.37009,1.93302,1.08799,0.63793,0.56444,0.53989,0.17706,2.49009,1.68104,1.04968,0.00189195,0.00189195,0.00189195
8,515.726,2.37544,1.87337,1.08339,0.64501,0.53703,0.50377,0.15359,2.69008,1.72892,1.06143,0.00187394,0.00187394,0.00187394
9,576.6,2.31355,1.81295,1.0675,0.70698,0.56566,0.59415,0.19124,2.52735,1.65971,1.048,0.00185593,0.00185593,0.00185593
10,637.842,2.29321,1.78151,1.07038,0.68128,0.56333,0.54726,0.17613,2.6505,1.6912,1.06154,0.00183793,0.00183793,0.00183793
11,698.581,2.32824,1.75404,1.07695,0.67417,0.55634,0.53334,0.17608,2.64807,1.89421,1.06389,0.00181992,0.00181992,0.00181992
12,759.363,2.29779,1.74133,1.07011,0.65117,0.62222,0.60296,0.2064,2.33456,1.58752,1.02718,0.00180191,0.00180191,0.00180191
13,820.179,2.28929,1.74316,1.067,0.65134,0.53889,0.51941,0.16606,2.50955,1.74067,1.0407,0.0017839,0.0017839,0.0017839
14,880.883,2.25519,1.69684,1.05504,0.7105,0.60333,0.58754,0.20465,2.33851,1.6907,1.02843,0.00176589,0.00176589,0.00176589
15,941.62,2.25753,1.68403,1.06737,0.78894,0.59667,0.6732,0.2356,2.26949,1.48409,1.02297,0.00174789,0.00174789,0.00174789
16,1002.38,2.23213,1.68419,1.0446,0.70137,0.63,0.60388,0.21226,2.33506,1.63429,1.01649,0.00172988,0.00172988,0.00172988
17,1063.11,2.20969,1.63983,1.04779,0.7757,0.62333,0.68176,0.24175,2.26941,1.45431,1.0082,0.00171187,0.00171187,0.00171187
18,1123.88,2.21072,1.65732,1.05012,0.71442,0.59111,0.61848,0.22479,2.33165,1.54234,1.0194,0.00169386,0.00169386,0.00169386
19,1184.62,2.19006,1.61968,1.04602,0.70853,0.58556,0.58674,0.19742,2.3911,1.53432,1.02702,0.00167585,0.00167585,0.00167585
20,1245.33,2.1972,1.62195,1.03927,0.75897,0.58667,0.61587,0.22048,2.29922,1.57188,1.01995,0.00165784,0.00165784,0.00165784
21,1306.47,2.17817,1.59697,1.0401,0.81758,0.64889,0.70897,0.25374,2.17594,1.44722,1.01116,0.00163984,0.00163984,0.00163984
22,1367.67,2.16479,1.57031,1.04216,0.75056,0.60513,0.62703,0.22993,2.26633,1.53227,1.03241,0.00162183,0.00162183,0.00162183
23,1428.84,2.18532,1.62353,1.04991,0.74508,0.61703,0.6632,0.24188,2.26857,1.44922,1.01476,0.00160382,0.00160382,0.00160382
24,1490,2.10084,1.54534,1.03169,0.77439,0.63667,0.69152,0.26565,2.13844,1.46331,1.0052,0.00158581,0.00158581,0.00158581
25,1551.2,2.129,1.5465,1.04032,0.75295,0.64,0.69477,0.26471,2.11409,1.42327,1.0025,0.0015678,0.0015678,0.0015678
26,1612.39,2.12632,1.54966,1.03502,0.75317,0.66111,0.70926,0.27069,2.12456,1.37994,1.00421,0.0015498,0.0015498,0.0015498
27,1673.55,2.12941,1.56398,1.0419,0.76752,0.64889,0.68974,0.26264,2.11346,1.39855,0.99983,0.00153179,0.00153179,0.00153179
28,1734.71,2.08078,1.52423,1.02583,0.7962,0.66222,0.71519,0.28284,2.04721,1.3353,0.9959,0.00151378,0.00151378,0.00151378
29,1795.91,2.10575,1.54828,1.03199,0.81137,0.6691,0.72776,0.27061,2.21661,1.34891,1.00435,0.00149577,0.00149577,0.00149577
30,1857.06,2.09202,1.51974,1.03013,0.76914,0.63778,0.67647,0.24076,2.32576,1.42526,1.01269,0.00147776,0.00147776,0.00147776
31,1918.19,2.08612,1.49574,1.02068,0.77746,0.64889,0.69764,0.26992,2.13902,1.40382,1.00954,0.00145975,0.00145975,0.00145975
32,1979.36,2.07358,1.47493,1.03059,0.78524,0.63333,0.70347,0.27078,2.15101,1.35498,1.00428,0.00144175,0.00144175,0.00144175
33,2040.52,2.07976,1.49168,1.02409,0.79157,0.63444,0.70152,0.26509,2.15575,1.35161,0.99739,0.00142374,0.00142374,0.00142374
34,2101.64,2.06065,1.47625,1.01903,0.79155,0.64889,0.68898,0.27405,2.1479,1.37154,1.00616,0.00140573,0.00140573,0.00140573
35,2162.86,2.08921,1.47394,1.02478,0.73835,0.63,0.64944,0.25604,2.161,1.34441,1.0015,0.00138772,0.00138772,0.00138772
36,2224.12,2.06678,1.47068,1.02109,0.73175,0.6274,0.66592,0.25429,2.10648,1.3682,0.99757,0.00136971,0.00136971,0.00136971
37,2285.35,2.05422,1.47136,1.02752,0.758,0.64444,0.70195,0.28,2.1104,1.36611,0.99993,0.00135171,0.00135171,0.00135171
38,2346.62,2.05591,1.4719,1.01894,0.73971,0.63333,0.68444,0.26405,2.1391,1.34274,0.99813,0.0013337,0.0013337,0.0013337
39,2407.88,2.05897,1.44817,1.02077,0.78005,0.67,0.72754,0.29449,2.04638,1.29219,0.99427,0.00131569,0.00131569,0.00131569
40,2469.16,2.04906,1.42091,1.0135,0.74608,0.62778,0.66648,0.24205,2.24112,1.41066,1.00607,0.00129768,0.00129768,0.00129768
41,2530.38,2.05365,1.41751,1.02211,0.75456,0.63,0.66355,0.25849,2.16462,1.35059,1.00934,0.00127967,0.00127967,0.00127967
42,2591.64,2.03651,1.4653,1.0145,0.77863,0.66778,0.72066,0.29257,2.00143,1.32607,0.98697,0.00126166,0.00126166,0.00126166
43,2652.82,2.03344,1.41946,1.01703,0.75199,0.64222,0.66513,0.25444,2.23477,1.34617,1.00866,0.00124366,0.00124366,0.00124366
44,2714.03,2.02092,1.41164,1.01222,0.79427,0.65556,0.71947,0.29017,2.11237,1.30843,1.0038,0.00122565,0.00122565,0.00122565
45,2775.27,2.00952,1.43043,1.0155,0.80259,0.65778,0.72656,0.28792,2.06016,1.2895,1.0009,0.00120764,0.00120764,0.00120764
46,2836.52,2.00418,1.40977,1.01925,0.77212,0.67,0.70575,0.26904,2.17806,1.3337,1.00193,0.00118963,0.00118963,0.00118963
